Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
83,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
84,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
85,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
86,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
87,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
88,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
89,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-192.3918152,,-189.1309509,,-192.3918152
90,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-189.1309509,-192.3918152,-192.3918152,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
91,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,,-192.3918152,-192.3918152,-192.3918152,,-189.1309509,,-192.3918152
92,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,,-192.3918152,-192.3918152,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
93,,-192.3918152,-189.1309509,-192.3918152,-192.3918152,,-192.3918152,-192.3918152,-192.3918152,,-189.1309509,,-192.3918152
94,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
95,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,,-189.1309509,,-192.3918152
96,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
97,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,,-189.1309509,,-192.3918152
98,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
99,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,,-189.1309509,,-192.3918152
100,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,-189.1309509,-189.1309509,,-192.3918152
101,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,-192.3918152,,-189.1309509,,-192.3918152
102,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
103,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
104,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
105,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
106,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
107,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
108,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
109,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
110,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
111,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
