Step,DeepEnsemble_pest_control_std_20250514_170530 - best_value,DeepEnsemble_pest_control_std_20250514_150101 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_122025 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_105357 - best_value,CSV_BLOB_pest_control_20250514_104232 - best_value,CSV_BLOB_pest_control_20250514_104129 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_103000 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_005849 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_005805 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_003942 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_003122 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_002747 - best_value,CSV_BLOB_pest_control_20250514_000511 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250513_232018 - best_value,pest_control_mlp_20250514_175734 - best_value,pest_control_mlp_20250514_180403 - best_value
130,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
131,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
132,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
133,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
134,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
135,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
136,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
137,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
138,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
139,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
140,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
141,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
142,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
143,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
144,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
145,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
146,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
147,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
148,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
149,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
150,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,12.5
151,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,12.5
152,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,12.5
153,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
154,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
155,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
156,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
157,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
158,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
159,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
160,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
161,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
162,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
163,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
164,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
165,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
166,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
167,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
168,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
169,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
170,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
171,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
